Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population
Nevada,Brain and Other Nervous System,2017,Male and Female,All Races,5,173,2972405
Idaho,Brain and Other Nervous System,2017,Male and Female,All Races,4.7,95,1718904
Wyoming,Brain and Other Nervous System,2017,Male and Female,All Races,7.1,46,578934
Colorado,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,267,5615902
Georgia,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,458,10413055
Texas,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,1169,28322717
Montana,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,64,1053090
New Mexico,Brain and Other Nervous System,2017,Male and Female,All Races,4.5,113,2093395
Utah,Brain and Other Nervous System,2017,Male and Female,All Races,4.7,126,3103118
California,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,1801,39399349
Alaska,Brain and Other Nervous System,2017,Male and Female,All Races,4.5,33,739786
Oregon,Brain and Other Nervous System,2017,Male and Female,All Races,4.7,246,4146592
Virginia,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,415,8465207
Mississippi,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,156,2989663
West Virginia,Brain and Other Nervous System,2017,Male and Female,All Races,4.9,117,1817048
Washington,Brain and Other Nervous System,2017,Male and Female,All Races,5.1,433,7425432
Tennessee,Brain and Other Nervous System,2017,Male and Female,All Races,5,405,6708794
Rhode Island,Brain and Other Nervous System,2017,Male and Female,All Races,5.3,72,1056486
Minnesota,Brain and Other Nervous System,2017,Male and Female,All Races,4.8,307,5568155
Florida,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,1224,20976812
Oklahoma,Brain and Other Nervous System,2017,Male and Female,All Races,4.8,215,3932640
Maryland,Brain and Other Nervous System,2017,Male and Female,All Races,4,278,6024891
North Carolina,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,517,10270800
South Dakota,Brain and Other Nervous System,2017,Male and Female,All Races,5.4,59,873286
Missouri,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,340,6108612
Maine,Brain and Other Nervous System,2017,Male and Female,All Races,5.1,96,1335063
Kansas,Brain and Other Nervous System,2017,Male and Female,All Races,5,170,2910689
Hawaii,Brain and Other Nervous System,2017,Male and Female,All Races,2.9,52,1424203
District of Columbia,Brain and Other Nervous System,2017,Male and Female,All Races,2.5,18,695691
North Dakota,Brain and Other Nervous System,2017,Male and Female,All Races,4.2,36,755176
Delaware,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,51,957078
Nebraska,Brain and Other Nervous System,2017,Male and Female,All Races,4.9,110,1917575
Arkansas,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,159,3002997
Iowa,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,176,3143637
Wisconsin,Brain and Other Nervous System,2017,Male and Female,All Races,4.9,343,5792051
Pennsylvania,Brain and Other Nervous System,2017,Male and Female,All Races,4.4,732,12790447
Kentucky,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,246,4453874
Alabama,Brain and Other Nervous System,2017,Male and Female,All Races,4.5,272,4875120
South Carolina,Brain and Other Nervous System,2017,Male and Female,All Races,4.9,295,5021219
Louisiana,Brain and Other Nervous System,2017,Male and Female,All Races,4.7,252,4670818
Vermont,Brain and Other Nervous System,2017,Male and Female,All Races,7.4,61,624525
Arizona,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,344,7048876
Ohio,Brain and Other Nervous System,2017,Male and Female,All Races,4.9,693,11664129
New Jersey,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,460,8888543
New Hampshire,Brain and Other Nervous System,2017,Male and Female,All Races,4.5,77,1349767
New York,Brain and Other Nervous System,2017,Male and Female,All Races,3.9,922,19590719
Illinois,Brain and Other Nervous System,2017,Male and Female,All Races,4.1,611,12786196
Indiana,Brain and Other Nervous System,2017,Male and Female,All Races,4.6,350,6660082
Massachusetts,Brain and Other Nervous System,2017,Male and Female,All Races,4.8,397,6863246
Michigan,Brain and Other Nervous System,2017,Male and Female,All Races,4.5,566,9976447
Connecticut,Brain and Other Nervous System,2017,Male and Female,All Races,4.3,186,3573880
Nevada,Cervix,2017,Female,All Races,2.3,38,1481115
Idaho,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,857853
Wyoming,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,283606
Colorado,Cervix,2017,Female,All Races,1.9,55,2789162
Georgia,Cervix,2017,Female,All Races,2.1,123,5346767
Montana,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,522925
Texas,Cervix,2017,Female,All Races,3,429,14250938
New Mexico,Cervix,2017,Female,All Races,2.4,27,1057085
Utah,Cervix,2017,Female,All Races,2,30,1540313
California,Cervix,2017,Female,All Races,2.3,490,19817679
Alaska,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,353363
Oregon,Cervix,2017,Female,All Races,1.9,47,2091356
Virginia,Cervix,2017,Female,All Races,1.7,83,4299620
Mississippi,Cervix,2017,Female,All Races,3.6,61,1539413
West Virginia,Cervix,2017,Female,All Races,2.5,29,917552
Washington,Cervix,2017,Female,All Races,1.7,72,3711772
Tennessee,Cervix,2017,Female,All Races,2.5,103,3435687
Rhode Island,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,542930
Minnesota,Cervix,2017,Female,All Races,1.4,48,2795630
Florida,Cervix,2017,Female,All Races,2.8,355,10720481
Oklahoma,Cervix,2017,Female,All Races,4.1,86,1984478
Maryland,Cervix,2017,Female,All Races,1.7,67,3104138
North Carolina,Cervix,2017,Female,All Races,1.8,115,5272479
South Dakota,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,432265
Missouri,Cervix,2017,Female,All Races,2.4,87,3109948
Maine,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,681341
Kansas,Cervix,2017,Female,All Races,2.1,32,1460471
Hawaii,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,710021
District of Columbia,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,365633
North Dakota,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,368134
Delaware,Cervix,2017,Female,All Races,3.1,20,494227
Nebraska,Cervix,2017,Female,All Races,2.2,27,960319
Arkansas,Cervix,2017,Female,All Races,3.3,55,1527580
Iowa,Cervix,2017,Female,All Races,1.5,25,1579859
Wisconsin,Cervix,2017,Female,All Races,1.3,47,2911661
Pennsylvania,Cervix,2017,Female,All Races,1.8,150,6526911
Kentucky,Cervix,2017,Female,All Races,2.6,65,2259543
Alabama,Cervix,2017,Female,All Races,3.1,89,2516043
South Carolina,Cervix,2017,Female,All Races,2.3,66,2585760
Louisiana,Cervix,2017,Female,All Races,3.6,96,2388820
Vermont,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,316120
Arizona,Cervix,2017,Female,All Races,2.1,78,3544856
Ohio,Cervix,2017,Female,All Races,2.5,174,5947760
New Jersey,Cervix,2017,Female,All Races,2,114,4548298
New Hampshire,Cervix,2017,Female,All Races,Data Suppressed,Data Suppressed,681409
New York,Cervix,2017,Female,All Races,2.1,259,10079494
Illinois,Cervix,2017,Female,All Races,2.1,157,6504145
Indiana,Cervix,2017,Female,All Races,2.9,105,3376776
Michigan,Cervix,2017,Female,All Races,2.1,121,5065155
Massachusetts,Cervix,2017,Female,All Races,1.1,46,3532186
Connecticut,Cervix,2017,Female,All Races,1.1,25,1830414
Nevada,Colon and Rectum,2017,Male and Female,All Races,17.1,575,2972405
Idaho,Colon and Rectum,2017,Male and Female,All Races,13.2,257,1718904
Wyoming,Colon and Rectum,2017,Male and Female,All Races,10.4,72,578934
Colorado,Colon and Rectum,2017,Male and Female,All Races,11.9,705,5615902
Georgia,Colon and Rectum,2017,Male and Female,All Races,14.6,1610,10413055
Montana,Colon and Rectum,2017,Male and Female,All Races,12.2,169,1053090
Texas,Colon and Rectum,2017,Male and Female,All Races,13.7,3831,28322717
New Mexico,Colon and Rectum,2017,Male and Female,All Races,13.9,355,2093395
Utah,Colon and Rectum,2017,Male and Female,All Races,10.4,272,3103118
California,Colon and Rectum,2017,Male and Female,All Races,12.2,5288,39399349
Alaska,Colon and Rectum,2017,Male and Female,All Races,15.8,105,739786
Oregon,Colon and Rectum,2017,Male and Female,All Races,12.3,635,4146592
Virginia,Colon and Rectum,2017,Male and Female,All Races,13.5,1311,8465207
Mississippi,Colon and Rectum,2017,Male and Female,All Races,17.1,615,2989663
West Virginia,Colon and Rectum,2017,Male and Female,All Races,15.5,394,1817048
Tennessee,Colon and Rectum,2017,Male and Female,All Races,14.9,1228,6708794
Rhode Island,Colon and Rectum,2017,Male and Female,All Races,10.4,144,1056486
Minnesota,Colon and Rectum,2017,Male and Female,All Races,11.8,788,5568155
Oklahoma,Colon and Rectum,2017,Male and Female,All Races,16.7,766,3932640
Florida,Colon and Rectum,2017,Male and Female,All Races,12.9,3966,20976812
Maryland,Colon and Rectum,2017,Male and Female,All Races,13.3,947,6024891
North Carolina,Colon and Rectum,2017,Male and Female,All Races,12.5,1529,10270800
Washington,Colon and Rectum,2017,Male and Female,All Races,12.4,1046,7425432
South Dakota,Colon and Rectum,2017,Male and Female,All Races,14.3,161,873286
Missouri,Colon and Rectum,2017,Male and Female,All Races,14.1,1084,6108612
Maine,Colon and Rectum,2017,Male and Female,All Races,12.5,242,1335063
Kansas,Colon and Rectum,2017,Male and Female,All Races,14.6,508,2910689
Hawaii,Colon and Rectum,2017,Male and Female,All Races,11.7,224,1424203
District of Columbia,Colon and Rectum,2017,Male and Female,All Races,13.5,93,695691
North Dakota,Colon and Rectum,2017,Male and Female,All Races,11,101,755176
Delaware,Colon and Rectum,2017,Male and Female,All Races,13.8,172,957078
Nebraska,Colon and Rectum,2017,Male and Female,All Races,13.6,312,1917575
Arkansas,Colon and Rectum,2017,Male and Female,All Races,15.5,571,3002997
Iowa,Colon and Rectum,2017,Male and Female,All Races,13.5,555,3143637
Wisconsin,Colon and Rectum,2017,Male and Female,All Races,12.3,889,5792051
Pennsylvania,Colon and Rectum,2017,Male and Female,All Races,14.1,2485,12790447
Kentucky,Colon and Rectum,2017,Male and Female,All Races,16.7,886,4453874
Alabama,Colon and Rectum,2017,Male and Female,All Races,15.8,954,4875120
South Carolina,Colon and Rectum,2017,Male and Female,All Races,13.6,865,5021219
Louisiana,Colon and Rectum,2017,Male and Female,All Races,16.7,903,4670818
Vermont,Colon and Rectum,2017,Male and Female,All Races,15.4,128,624525
Arizona,Colon and Rectum,2017,Male and Female,All Races,12.6,1110,7048876
Ohio,Colon and Rectum,2017,Male and Female,All Races,15,2206,11664129
New Jersey,Colon and Rectum,2017,Male and Female,All Races,13.3,1499,8888543
New Hampshire,Colon and Rectum,2017,Male and Female,All Races,13,235,1349767
New York,Colon and Rectum,2017,Male and Female,All Races,12.8,3154,19590719
Illinois,Colon and Rectum,2017,Male and Female,All Races,14.6,2223,12786196
Indiana,Colon and Rectum,2017,Male and Female,All Races,15.6,1222,6660082
Massachusetts,Colon and Rectum,2017,Male and Female,All Races,11.4,975,6863246
Michigan,Colon and Rectum,2017,Male and Female,All Races,13.6,1709,9976447
Connecticut,Colon and Rectum,2017,Male and Female,All Races,10.1,473,3573880
Nevada,Esophagus,2017,Male and Female,All Races,3.6,135,2972405
Idaho,Esophagus,2017,Male and Female,All Races,5,98,1718904
Wyoming,Esophagus,2017,Male and Female,All Races,3,23,578934
Colorado,Esophagus,2017,Male and Female,All Races,3.8,228,5615902
Georgia,Esophagus,2017,Male and Female,All Races,3.5,403,10413055
Texas,Esophagus,2017,Male and Female,All Races,3,845,28322717
Montana,Esophagus,2017,Male and Female,All Races,5.4,79,1053090
New Mexico,Esophagus,2017,Male and Female,All Races,3.6,102,2093395
Utah,Esophagus,2017,Male and Female,All Races,2.9,80,3103118
California,Esophagus,2017,Male and Female,All Races,3,1309,39399349
Alaska,Esophagus,2017,Male and Female,All Races,4.8,35,739786
Oregon,Esophagus,2017,Male and Female,All Races,4.6,248,4146592
Virginia,Esophagus,2017,Male and Female,All Races,3.9,393,8465207
Mississippi,Esophagus,2017,Male and Female,All Races,3.1,113,2989663
West Virginia,Esophagus,2017,Male and Female,All Races,5.1,136,1817048
Washington,Esophagus,2017,Male and Female,All Races,4.1,361,7425432
Tennessee,Esophagus,2017,Male and Female,All Races,4.2,360,6708794
Rhode Island,Esophagus,2017,Male and Female,All Races,3.5,50,1056486
Minnesota,Esophagus,2017,Male and Female,All Races,4.1,286,5568155
Florida,Esophagus,2017,Male and Female,All Races,3.5,1107,20976812
Oklahoma,Esophagus,2017,Male and Female,All Races,3.9,186,3932640
Maryland,Esophagus,2017,Male and Female,All Races,3.5,251,6024891
North Carolina,Esophagus,2017,Male and Female,All Races,3.5,446,10270800
South Dakota,Esophagus,2017,Male and Female,All Races,5.8,60,873286
Missouri,Esophagus,2017,Male and Female,All Races,4.8,375,6108612
Maine,Esophagus,2017,Male and Female,All Races,5.6,112,1335063
Kansas,Esophagus,2017,Male and Female,All Races,4.6,162,2910689
Hawaii,Esophagus,2017,Male and Female,All Races,3.2,60,1424203
District of Columbia,Esophagus,2017,Male and Female,All Races,2.7,18,695691
North Dakota,Esophagus,2017,Male and Female,All Races,3.3,31,755176
Delaware,Esophagus,2017,Male and Female,All Races,3.8,51,957078
Nebraska,Esophagus,2017,Male and Female,All Races,4.6,106,1917575
Arkansas,Esophagus,2017,Male and Female,All Races,3.4,128,3002997
Iowa,Esophagus,2017,Male and Female,All Races,4.8,200,3143637
Wisconsin,Esophagus,2017,Male and Female,All Races,4.4,330,5792051
Pennsylvania,Esophagus,2017,Male and Female,All Races,4.4,771,12790447
Kentucky,Esophagus,2017,Male and Female,All Races,5,279,4453874
Alabama,Esophagus,2017,Male and Female,All Races,4,254,4875120
South Carolina,Esophagus,2017,Male and Female,All Races,3.7,249,5021219
Louisiana,Esophagus,2017,Male and Female,All Races,3.8,215,4670818
Vermont,Esophagus,2017,Male and Female,All Races,5.4,49,624525
Arizona,Esophagus,2017,Male and Female,All Races,3.7,333,7048876
Ohio,Esophagus,2017,Male and Female,All Races,4.7,723,11664129
New Jersey,Esophagus,2017,Male and Female,All Races,3.6,401,8888543
New Hampshire,Esophagus,2017,Male and Female,All Races,5.9,109,1349767
New York,Esophagus,2017,Male and Female,All Races,3.5,878,19590719
Illinois,Esophagus,2017,Male and Female,All Races,4,622,12786196
Indiana,Esophagus,2017,Male and Female,All Races,4.9,402,6660082
Massachusetts,Esophagus,2017,Male and Female,All Races,4.4,391,6863246
Michigan,Esophagus,2017,Male and Female,All Races,4.4,579,9976447
Connecticut,Esophagus,2017,Male and Female,All Races,3.3,159,3573880
Nevada,Female Breast,2017,Female,All Races,21.3,368,1481115
Idaho,Female Breast,2017,Female,All Races,21.6,222,857853
Wyoming,Female Breast,2017,Female,All Races,16.6,58,283606
Colorado,Female Breast,2017,Female,All Races,19.3,629,2789162
Georgia,Female Breast,2017,Female,All Races,21.9,1334,5346767
Montana,Female Breast,2017,Female,All Races,17.6,130,522925
Texas,Female Breast,2017,Female,All Races,19.8,2984,14250938
New Mexico,Female Breast,2017,Female,All Races,20.2,281,1057085
Utah,Female Breast,2017,Female,All Races,20.2,280,1540313
California,Female Breast,2017,Female,All Races,19.4,4588,19817679
Alaska,Female Breast,2017,Female,All Races,16.7,60,353363
Oregon,Female Breast,2017,Female,All Races,18.3,506,2091356
Virginia,Female Breast,2017,Female,All Races,21.8,1175,4299620
Mississippi,Female Breast,2017,Female,All Races,25.5,489,1539413
West Virginia,Female Breast,2017,Female,All Races,22.2,300,917552
Tennessee,Female Breast,2017,Female,All Races,21,934,3435687
Rhode Island,Female Breast,2017,Female,All Races,16.4,125,542930
Minnesota,Female Breast,2017,Female,All Races,16.7,612,2795630
Oklahoma,Female Breast,2017,Female,All Races,22.3,556,1984478
Florida,Female Breast,2017,Female,All Races,18.5,2952,10720481
Maryland,Female Breast,2017,Female,All Races,21.6,857,3104138
North Carolina,Female Breast,2017,Female,All Races,21.5,1451,5272479
Washington,Female Breast,2017,Female,All Races,19.3,888,3711772
South Dakota,Female Breast,2017,Female,All Races,17.5,102,432265
Missouri,Female Breast,2017,Female,All Races,21.1,867,3109948
Maine,Female Breast,2017,Female,All Races,18.5,186,681341
Kansas,Female Breast,2017,Female,All Races,18.5,345,1460471
Hawaii,Female Breast,2017,Female,All Races,15.6,155,710021
District of Columbia,Female Breast,2017,Female,All Races,24.3,92,365633
North Dakota,Female Breast,2017,Female,All Races,19.5,95,368134
Nebraska,Female Breast,2017,Female,All Races,19.7,243,960319
Iowa,Female Breast,2017,Female,All Races,17.9,390,1579859
Wisconsin,Female Breast,2017,Female,All Races,17.3,679,2911661
Arkansas,Female Breast,2017,Female,All Races,20.6,414,1527580
Pennsylvania,Female Breast,2017,Female,All Races,20.7,1984,6526911
Kentucky,Female Breast,2017,Female,All Races,21.3,633,2259543
South Carolina,Female Breast,2017,Female,All Races,20.6,695,2585760
Alabama,Female Breast,2017,Female,All Races,21.2,695,2516043
Vermont,Female Breast,2017,Female,All Races,17.3,80,316120
Ohio,Female Breast,2017,Female,All Races,21.9,1758,5947760
New Jersey,Female Breast,2017,Female,All Races,20,1239,4548298
Delaware,Female Breast,2017,Female,All Races,22.1,150,494227
New Hampshire,Female Breast,2017,Female,All Races,16.1,160,681409
New York,Female Breast,2017,Female,All Races,18.1,2457,10079494
Illinois,Female Breast,2017,Female,All Races,20.4,1708,6504145
Indiana,Female Breast,2017,Female,All Races,20.9,902,3376776
Arizona,Female Breast,2017,Female,All Races,18,830,3544856
Louisiana,Female Breast,2017,Female,All Races,23.5,692,2388820
Massachusetts,Female Breast,2017,Female,All Races,18.5,893,3532186
Michigan,Female Breast,2017,Female,All Races,19.2,1311,5065155
Connecticut,Female Breast,2017,Female,All Races,18.3,466,1830414
Nevada,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2972405
Idaho,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1718904
Wyoming,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5615902
Georgia,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,21,10413055
Texas,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,87,28322717
Montana,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1053090
New Mexico,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2093395
Utah,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3103118
California,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,127,39399349
Alaska,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,4146592
Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,21,8465207
Mississippi,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2989663
West Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1817048
Washington,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,16,7425432
Tennessee,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,26,6708794
Rhode Island,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1056486
Minnesota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5568155
Florida,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,83,20976812
Oklahoma,Hodgkin Lymphoma,2017,Male and Female,All Races,0.5,22,3932640
Maryland,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,6024891
North Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,36,10270800
South Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,873286
Missouri,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,17,6108612
Maine,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1335063
Kansas,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2910689
Hawaii,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1424203
District of Columbia,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
North Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
Alabama,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,4875120
Delaware,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,957078
Nebraska,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1917575
Arkansas,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3002997
Iowa,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3143637
Wisconsin,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,20,5792051
Pennsylvania,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,27,12790447
Kentucky,Hodgkin Lymphoma,2017,Male and Female,All Races,0.5,28,4453874
South Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5021219
Louisiana,Hodgkin Lymphoma,2017,Male and Female,All Races,0.4,18,4670818
Arizona,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,29,7048876
Vermont,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,624525
Ohio,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,44,11664129
New Jersey,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,18,8888543
New Hampshire,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1349767
New York,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,59,19590719
